id,y,y_hat_med,y_hat_weighted_sum,MSE
199,-5.31635160518,-3.60083532333,-3.60876505058,2.94299611328
232,0.336657189964,-2.25445532799,-2.24551525192,6.71386408069
252,-2.16930865116,-3.84520554543,-3.84487475541,2.80863040021
255,-1.65639859827,-3.6016740799,-3.58881602738,3.78409669941
262,-3.17874735028,-1.23457551003,-1.22541444179,3.77980414446
289,-5.41345436685,-3.54401898384,-3.55455863465,3.49478865126
387,-1.98142801088,-4.03388404846,-3.94579956379,4.21257578622
